course_id,module_name,course_level,course_name,course_levelrank,duration,no_of_enrollments,no_of_ratings,course_rating,created_time,creator_name
69,Power BI,Beginner,Power BI_Beginner,1,30,9000,1785,5,26-04-2019,Gratiana Benettini
70,Databases,Intermediate,Databases_Intermediate,2,20,1000,72,4,16-03-2022,Normie Brosini
71,MS Office,Beginner,MS Office_Beginner,1,3,1000,250,4,04-06-2020,Elwood Kubica
72,Python,Beginner,Python_Beginner,1,3,9000,676,4,29-12-2022,Wait Eddis
73,R Language,Advanced,R Language_Advanced,4,20,1000,250,5,17-07-2019,Regen Matterson
74,AWS,Advanced,AWS_Advanced,4,15,2000,500,5,20-08-2021,Briant Reina
75,Power Platform,Advanced,Power Platform_Advanced,4,9,2000,768,2,07-01-2018,Brett Pentland
76,Hadoop,Advanced,Hadoop_Advanced,3,12,2000,500,1,14-10-2017,Obidiah Rugieri
77,Hadoop,Expert,Hadoop_Expert,3,12,5000,2432,5,23-11-2017,Zechariah Spleving
78,IaC,Beginner,IaC_Beginner,1,25,2000,1005,5,10-09-2017,Emelyne Avrashin
79,HTML,Intermediate,HTML_Intermediate,1,30,7000,3742,3,09-09-2018,Barth La Rosa
80,SQL,Beginner,SQL_Beginner,1,15,1000,250,1,25-05-2018,Devy Avramovitz
81,Machine Learning,Beginner,Machine Learning_Beginner,1,25,7000,2351,2,25-03-2018,Chiquita Clulow
82,CSS,Intermediate,CSS_Intermediate,2,15,1000,518,5,04-12-2021,Conan Masserel
83,Power BI,Expert,Power BI_Expert,3,15,1000,250,5,16-10-2020,Corbet Quinnet
84,Hadoop,Advanced,Hadoop_Advanced,3,15,1000,250,5,03-09-2022,Marnie Greenhough
85,Power Platform,Intermediate,Power Platform_Intermediate,2,30,3000,1177,5,28-08-2022,Karylin Cracknall
86,Python,Expert,Python_Expert,3,12,9000,3150,4,21-01-2018,Augustine Douche
87,IaC,Advanced,IaC_Advanced,3,9,7000,2456,5,13-03-2020,Iggy Keenleyside
88,Javascript,Intermediate,Javascript_Intermediate,3,20,4000,1412,3,23-09-2019,Verne Gallahue
89,Hadoop,Beginner,Hadoop_Beginner,1,35,1000,250,4,21-05-2021,Molly Levicount
90,Azure PaaS,Advanced,Azure PaaS_Advanced,3,20,4000,2519,5,16-01-2019,Vonny Leatherbarrow
91,Word Press,Expert,Word Press_Expert,4,30,2000,691,1,10-03-2018,Carl Pyvis
92,Databases,Advanced,Databases_Advanced,4,35,3000,1922,3,17-11-2021,Stephanus Konneke
93,CSS,Advanced,CSS_Advanced,3,9,9000,694,2,22-06-2017,Eldin Sherrott
94,HTML,Intermediate,HTML_Intermediate,1,12,3000,750,3,19-05-2019,Donnamarie Wrathmell
95,CSS,Expert,CSS_Expert,4,20,3000,1779,,26-03-2022,Melissa Gartsyde
96,Javascript,Beginner,Javascript_Beginner,1,6,5000,2080,5,01-11-2022,Theobald Gyde
97,IaC,Beginner,IaC_Beginner,1,15,2000,500,3,12-05-2022,Brigitte Gamblin
98,Word Press,Intermediate,Word Press_Intermediate,3,35,3000,793,4,05-01-2020,Jessie Apfel
99,Machine Learning,Intermediate,Machine Learning_Intermediate,3,20,6000,1237,2,15-12-2022,Kyle Goldspink
100,AWS,Intermediate,AWS_Intermediate,2,3,3000,2980,4,27-02-2018,Dix Gummie
101,Python,Intermediate,Python_Intermediate,3,30,1000,250,4,23-07-2018,Diahann Hammel
102,HTML,Expert,HTML_Expert,4,30,8000,452,4,22-06-2019,Talbert Nuemann
103,HTML,Expert,HTML_Expert,3,35,9000,780,5,28-02-2020,Delcina Syder
104,CSS,Beginner,CSS_Beginner,1,35,8000,65,3,19-12-2019,Bryce Hallen
105,R Language,Expert,R Language_Expert,4,30,1000,250,4,17-07-2018,Gayla Leschelle
106,R Language,Expert,R Language_Expert,3,6,3000,750,3,16-05-2018,Colby Unitt
107,AWS,Beginner,AWS_Beginner,2,12,3000,750,3,16-03-2019,Kayle Pleass
108,R Language,Beginner,R Language_Beginner,1,25,7000,3305,4,14-03-2019,Kira Lippiatt
109,Tableau,Intermediate,Tableau_Intermediate,3,12,3000,1354,4,14-08-2021,Kyrstin Crowther
110,Machine Learning,Intermediate,Machine Learning_Intermediate,1,30,2000,500,3,30-05-2022,Rock Abbotts
111,Javascript,Intermediate,Javascript_Intermediate,3,9,1000,250,2,09-02-2022,Cash Reap
112,IaC,Beginner,IaC_Beginner,1,12,2000,1213,4,10-04-2020,Gwendolen Emms
113,SQL,Advanced,SQL_Advanced,4,35,1000,250,5,10-01-2018,Kerby Williamson
114,R Language,Intermediate,R Language_Intermediate,2,35,1000,250,5,15-03-2021,Curry De La Salle
115,Word Press,Expert,Word Press_Expert,3,20,3000,753,4,23-01-2022,Holly Langman
116,IaC,Expert,IaC_Expert,4,30,7000,3367,4,03-04-2019,Marcia Von Welldun
117,Azure PaaS,Advanced,Azure PaaS_Advanced,3,25,1000,250,1,09-11-2018,Freeman Ervine
118,Tableau,Beginner,Tableau_Beginner,1,6,1000,250,1,25-11-2018,Arlette Shakelade
119,Azure PaaS,Beginner,Azure PaaS_Beginner,2,20,3000,1963,5,25-09-2020,Booth Heading
120,Python,Beginner,Python_Beginner,1,35,8000,2408,4,09-07-2020,Krissie Van der Hoeven
121,R Language,Beginner,R Language_Beginner,2,30,2000,305,5,12-05-2019,Wylma Kenneway
122,Javascript,Intermediate,Javascript_Intermediate,3,40,1000,250,5,10-09-2018,Elston Corradini
123,SQL,Beginner,SQL_Beginner,1,20,3000,1315,4,03-01-2022,Camey McInility
124,CSS,Beginner,CSS_Beginner,1,30,10000,1477,,13-03-2021,Ashlan Barroux
125,Deep Learning,Intermediate,Deep Learning_Intermediate,2,15,1000,250,1,28-02-2020,Phillipe Betteriss
126,Azure PaaS,Intermediate,Azure PaaS_Intermediate,1,35,2000,500,4,09-12-2021,Flinn Teager
127,Machine Learning,Expert,Machine Learning_Expert,4,20,2000,500,4,22-08-2019,Murdock Summergill
128,IaC,Expert,IaC_Expert,4,25,3000,750,3,21-01-2020,Adolphus Weavill
129,Python,Intermediate,Python_Intermediate,2,3,8000,2235,2,22-06-2021,Tye Shadrach
130,Databases,Expert,Databases_Expert,4,6,2000,1596,5,13-10-2021,Tan Room
131,Power Platform,Expert,Power Platform_Expert,3,30,2000,983,4,24-01-2017,Meredith Alibone
132,Tableau,Advanced,Tableau_Advanced,3,35,1000,685,4,08-02-2020,Norby Lapwood
133,CSS,Expert,CSS_Expert,4,9,1000,678,3,06-07-2018,Lesya Leander
134,Azure PaaS,Beginner,Azure PaaS_Beginner,1,25,1000,250,1,20-11-2018,Carter Lodovichi
135,Azure PaaS,Intermediate,Azure PaaS_Intermediate,2,9,1000,250,4,02-12-2021,Andriana Lambal
136,AWS,Advanced,AWS_Advanced,3,35,1000,250,5,02-03-2018,Gloria Rosewarne
137,MS Office,Intermediate,MS Office_Intermediate,1,3,10000,1706,5,08-05-2019,Gunter Raulstone
138,Azure IaaS,Advanced,Azure IaaS_Advanced,3,20,8000,512,2,23-08-2021,Laurianne Gjerde
139,CSS,Expert,CSS_Expert,3,25,3000,1189,3,07-03-2019,Adorne Fellgatt
140,Azure PaaS,Beginner,Azure PaaS_Beginner,1,12,3000,1967,3,03-05-2021,Vin Blackaller
141,Azure IaaS,Intermediate,Azure IaaS_Intermediate,2,25,6000,3694,2,22-02-2022,Filide Rumsby
142,Azure PaaS,Beginner,Azure PaaS_Beginner,1,12,10000,961,4,03-06-2020,Conn Cossington
143,Deep Learning,Beginner,Deep Learning_Beginner,2,25,3000,2991,4,31-08-2020,Dalt Petel
144,Hadoop,Advanced,Hadoop_Advanced,3,30,2000,1012,1,05-08-2022,Jennee Loveday
145,Power Platform,Advanced,Power Platform_Advanced,2,30,9000,3413,2,11-03-2018,Isa Starmer
146,MS Office,Expert,MS Office_Expert,4,15,4000,1927,2,20-12-2021,Maria Abrahamsen
147,Power BI,Expert,Power BI_Expert,4,20,1000,250,5,05-09-2019,Petunia Kettoe
148,Javascript,Intermediate,Javascript_Intermediate,1,30,3000,2265,,08-01-2022,Ilsa Osant
149,HTML,Beginner,HTML_Beginner,1,6,6000,209,5,26-08-2018,Della Larmett
150,SQL,Advanced,SQL_Advanced,2,30,3000,506,5,21-12-2021,Kristian Olivia
151,R Language,Intermediate,R Language_Intermediate,3,40,6000,3987,4,09-07-2020,Ax Belitz
152,Javascript,Beginner,Javascript_Beginner,1,12,3000,329,4,10-06-2018,Wenda Pont
153,Azure IaaS,Advanced,Azure IaaS_Advanced,2,12,3000,750,4,21-11-2022,Matt Archard
154,MS Office,Advanced,MS Office_Advanced,4,20,2000,1854,5,17-10-2019,Anthony Riseam
155,Deep Learning,Advanced,Deep Learning_Advanced,3,20,1000,250,5,28-02-2022,Hermann Koenen
156,Word Press,Expert,Word Press_Expert,3,30,1000,250,4,01-09-2022,Emmy Cunliffe
157,Word Press,Expert,Word Press_Expert,4,20,1000,250,1,03-05-2017,Jory Chad
158,Tableau,Beginner,Tableau_Beginner,2,40,2000,1193,4,13-11-2022,Bryce Allery
159,Azure IaaS,Expert,Azure IaaS_Expert,4,20,1000,250,4,17-06-2019,Dominick Bernardeau
160,Javascript,Advanced,Javascript_Advanced,3,20,3000,2940,5,09-03-2019,Salome Vennings
161,Tableau,Beginner,Tableau_Beginner,2,35,1000,250,5,21-12-2022,Vivianna Snipe
162,Azure IaaS,Beginner,Azure IaaS_Beginner,2,9,7000,2390,5,18-10-2021,Markus Taggett
163,Machine Learning,Beginner,Machine Learning_Beginner,2,15,10000,2290,2,24-12-2018,Zoe Hatherall
164,Azure IaaS,Expert,Azure IaaS_Expert,3,35,1000,250,1,07-08-2017,Erina Trafford
165,CSS,Expert,CSS_Expert,4,9,2000,500,4,13-03-2017,Rochelle Penwright
166,Databases,Beginner,Databases_Beginner,1,15,3000,2405,4,25-01-2021,Jonell Skellorne
167,Deep Learning,Beginner,Deep Learning_Beginner,2,35,1000,250,3,03-05-2021,Geneva Tackell
168,Power Platform,Intermediate,Power Platform_Intermediate,3,15,1000,148,5,10-09-2022,Belva Recher
169,MS Office,Intermediate,MS Office_Intermediate,2,30,6000,1243,5,21-02-2021,Kipp Duinbleton
170,Databases,Expert,Databases_Expert,4,30,1000,250,4,04-06-2018,Maudie Tourot
171,CSS,Intermediate,CSS_Intermediate,2,12,3000,750,3,30-04-2022,Ursala Gurry
172,Tableau,Beginner,Tableau_Beginner,1,6,10000,312,4,22-01-2017,Denney Gland
173,IaC,Expert,IaC_Expert,4,20,1000,250,4,08-06-2022,Erminie Skunes
174,Tableau,Expert,Tableau_Expert,4,25,3000,2539,5,02-03-2021,Gisele Romke
175,MS Office,Intermediate,MS Office_Intermediate,2,12,1000,250,5,21-05-2018,Tom Carlone
176,HTML,Advanced,HTML_Advanced,3,9,8000,496,3,12-04-2019,Adrien Alsopp
177,SQL,Advanced,SQL_Advanced,4,12,5000,561,1,22-05-2019,Lucas Dursley
178,Deep Learning,Intermediate,Deep Learning_Intermediate,2,12,3000,2084,4,18-08-2022,Angil Corriea
179,Databases,Beginner,Databases_Beginner,1,20,1000,250,5,23-02-2019,Perceval McCooke
180,Word Press,Advanced,Word Press_Advanced,3,12,9000,3479,1,04-04-2018,Myrtle Avrahamy
181,Tableau,Beginner,Tableau_Beginner,1,12,8000,330,3,10-10-2021,Mordecai Rumford
182,Hadoop,Beginner,Hadoop_Beginner,1,6,1000,599,2,15-01-2020,Marilee Roullier
183,Azure IaaS,Beginner,Azure IaaS_Beginner,1,6,1000,250,4,23-06-2019,Nestor Farren
184,MS Office,Advanced,MS Office_Advanced,4,12,5000,3834,3,15-10-2019,Hildegarde Tretwell
185,HTML,Beginner,HTML_Beginner,1,30,1000,250,2,29-12-2019,Ara Pawels
186,R Language,Intermediate,R Language_Intermediate,2,12,1000,250,5,25-12-2020,Erskine Balfour
187,Javascript,Intermediate,Javascript_Intermediate,3,6,3000,750,3,04-06-2018,Chris Hext
188,MS Office,Advanced,MS Office_Advanced,4,20,1000,250,5,17-03-2019,Joanna Tristram
189,Databases,Beginner,Databases_Beginner,1,25,2000,1634,5,08-05-2017,Goldie Langdon
190,R Language,Beginner,R Language_Beginner,1,20,2000,500,3,24-12-2018,Kirsten Shervington
191,SQL,Advanced,SQL_Advanced,3,15,2000,637,4,28-12-2019,Miof mela Camillo
192,Machine Learning,Intermediate,Machine Learning_Intermediate,3,9,1000,250,1,22-06-2019,Ban Belt
193,Power Platform,Beginner,Power Platform_Beginner,1,30,7000,3928,3,14-10-2019,Aeriell Hackford
194,HTML,Advanced,HTML_Advanced,4,35,3000,2045,5,02-10-2018,Tommie Brimelow
195,Power BI,Beginner,Power BI_Beginner,1,20,4000,1157,4,06-08-2020,Dana Hyndes
196,Javascript,Expert,Javascript_Expert,3,3,3000,1317,5,06-04-2017,Antonio Corona
197,Word Press,Advanced,Word Press_Advanced,3,20,5000,1702,2,19-08-2018,Claudia Macauley
198,Azure PaaS,Advanced,Azure PaaS_Advanced,4,35,1000,250,5,15-04-2021,Trevor Huke
199,Python,Advanced,Python_Advanced,3,30,1000,250,1,09-06-2019,Lib Floch
200,CSS,Beginner,CSS_Beginner,2,12,6000,992,5,02-03-2019,Bellina Juckes
201,Tableau,Beginner,Tableau_Beginner,2,15,4000,2827,4,21-09-2021,Shermie Tinton
202,IaC,Expert,IaC_Expert,4,12,1000,250,4,18-10-2020,Nicolais Crebbin
203,Power BI,Expert,Power BI_Expert,4,30,1000,250,4,06-11-2020,Joseph MacInherney
204,AWS,Advanced,AWS_Advanced,2,15,2000,103,4,21-10-2017,Aldo Kingsworth
205,AWS,Intermediate,AWS_Intermediate,3,25,1000,250,4,17-12-2021,Dorri Poole
206,Azure PaaS,Beginner,Azure PaaS_Beginner,1,12,1000,250,4,16-10-2022,Peri Summers
207,Hadoop,Beginner,Hadoop_Beginner,1,9,5000,921,,14-09-2017,Doro Breens
208,Azure PaaS,Advanced,Azure PaaS_Advanced,4,20,2000,500,4,06-12-2022,Suzanne Ends
209,CSS,Advanced,CSS_Advanced,4,30,1000,250,5,07-09-2022,Margi Jobern
210,Python,Expert,Python_Expert,3,15,1000,250,5,13-04-2017,Lanny Petris
211,Power Platform,Advanced,Power Platform_Advanced,4,35,2000,500,4,31-03-2020,Tandy Largen
212,AWS,Expert,AWS_Expert,3,15,10000,364,3,02-04-2022,Shermie While
213,Deep Learning,Intermediate,Deep Learning_Intermediate,1,35,7000,1545,4,31-07-2018,Brook Pesterfield
214,Power BI,Intermediate,Power BI_Intermediate,2,9,8000,263,4,17-09-2021,Catarina Ullett
215,Power Platform,Advanced,Power Platform_Advanced,3,30,1000,379,4,04-01-2020,Chad Bockh
216,HTML,Advanced,HTML_Advanced,4,35,6000,820,4,13-10-2021,Armin Rickerby
217,Azure IaaS,Beginner,Azure IaaS_Beginner,1,9,5000,1104,5,31-05-2022,Theobald Bardwall
218,AWS,Expert,AWS_Expert,3,35,3000,1958,4,08-03-2019,Hadleigh Vaz
219,Hadoop,Advanced,Hadoop_Advanced,2,15,9000,1841,4,26-10-2021,Halsey Mahaffey
220,Power BI,Beginner,Power BI_Beginner,1,30,9000,3464,3,25-08-2018,Kaylil Daniell
221,HTML,Beginner,HTML_Beginner,1,25,10000,1444,4,25-05-2022,Gloriane Daingerfield
222,R Language,Intermediate,R Language_Intermediate,2,35,2000,1801,5,28-01-2019,Alec Devany
223,Power BI,Beginner,Power BI_Beginner,1,6,2000,1972,2,11-01-2017,Marco O'Keefe
224,Tableau,Intermediate,Tableau_Intermediate,3,15,2000,449,4,23-12-2021,Dianemarie Bruton
225,MS Office,Expert,MS Office_Expert,4,15,5000,2034,4,06-12-2019,Amalie Longworthy
226,Javascript,Beginner,Javascript_Beginner,2,6,1000,250,3,19-09-2018,Fanni Few
227,HTML,Intermediate,HTML_Intermediate,2,20,1000,250,5,25-08-2018,Billi Penbarthy
228,Python,Beginner,Python_Beginner,1,9,1000,250,4,06-10-2021,Allie Meins
229,HTML,Beginner,HTML_Beginner,2,30,1000,250,5,11-02-2020,Ingeborg Febry
230,Javascript,Intermediate,Javascript_Intermediate,2,25,6000,1154,1,11-09-2017,Abra Mouget
231,MS Office,Beginner,MS Office_Beginner,1,25,6000,2384,4,18-12-2018,Miltie Graal
232,AWS,Beginner,AWS_Beginner,1,15,1000,250,1,07-03-2019,Bria Dear
233,HTML,Beginner,HTML_Beginner,1,20,1000,250,2,09-03-2022,Ginny Steeden
234,Power BI,Expert,Power BI_Expert,4,9,10000,1050,3,18-09-2021,Chrissie Horley
235,Tableau,Advanced,Tableau_Advanced,4,30,7000,2260,5,03-05-2017,Rayshell Nezey
236,MS Office,Intermediate,MS Office_Intermediate,1,25,3000,217,5,16-10-2018,Alvan Element
237,Azure PaaS,Intermediate,Azure PaaS_Intermediate,3,3,1000,250,3,10-05-2017,Kirsten Dawidowsky
238,AWS,Beginner,AWS_Beginner,2,30,2000,1011,4,04-03-2022,Justinn Ansteys
239,CSS,Intermediate,CSS_Intermediate,3,35,5000,883,4,25-09-2020,Heriberto Pollak
240,Power Platform,Expert,Power Platform_Expert,3,12,3000,1441,4,20-11-2018,Alisa Votier
241,Python,Advanced,Python_Advanced,3,35,1000,250,2,23-01-2019,Drugi Gogarty
242,MS Office,Beginner,MS Office_Beginner,1,15,7000,2455,4,09-08-2021,Jard Poston
243,SQL,Expert,SQL_Expert,4,20,2000,682,5,02-11-2017,Isaiah Nealon
244,SQL,Beginner,SQL_Beginner,1,35,9000,191,3,10-05-2018,Constancia Abramsky
245,Power BI,Intermediate,Power BI_Intermediate,3,25,7000,1608,3,01-10-2021,Imojean Wickliffe
246,HTML,Advanced,HTML_Advanced,4,9,1000,250,4,07-09-2017,Raul Hazeldene
247,Javascript,Beginner,Javascript_Beginner,1,20,1000,250,,27-12-2021,Katuscha Conkay
248,SQL,Advanced,SQL_Advanced,4,12,1000,250,4,26-10-2020,Ambrose Marlow
249,Databases,Expert,Databases_Expert,3,9,1000,250,5,04-02-2019,Brenden Besantie
250,Azure PaaS,Expert,Azure PaaS_Expert,3,15,2000,500,3,26-07-2021,Effie Tole
251,Azure PaaS,Beginner,Azure PaaS_Beginner,2,35,9000,2918,3,04-03-2018,Cindra Cottu
252,Hadoop,Advanced,Hadoop_Advanced,2,12,3000,331,1,16-05-2017,Shel Shorthouse
253,Javascript,Beginner,Javascript_Beginner,1,12,7000,540,3,05-04-2018,Eliza Cluff
254,Python,Intermediate,Python_Intermediate,2,20,1000,125,5,16-08-2019,Ase Desouza
255,Azure PaaS,Beginner,Azure PaaS_Beginner,2,6,9000,3973,3,15-02-2019,Lutero Bamlett
256,Power BI,Beginner,Power BI_Beginner,1,30,1000,694,5,24-08-2020,Gui Bradnocke
257,Azure PaaS,Expert,Azure PaaS_Expert,4,20,4000,501,1,11-08-2020,Poul Destouche
258,Javascript,Intermediate,Javascript_Intermediate,1,35,1000,768,5,04-10-2021,Zara Giraldez
259,Python,Intermediate,Python_Intermediate,1,9,8000,2571,5,20-08-2018,Harvey Loveridge
260,CSS,Expert,CSS_Expert,4,9,3000,420,4,18-01-2018,Melisse Huggin
261,SQL,Expert,SQL_Expert,3,15,7000,2663,4,05-06-2021,Neil Vader
262,Tableau,Intermediate,Tableau_Intermediate,3,30,1000,250,3,20-02-2017,Truda Wurst
263,Power Platform,Intermediate,Power Platform_Intermediate,3,40,2000,937,1,29-05-2020,Maggie McCray
264,Power Platform,Beginner,Power Platform_Beginner,2,6,1000,250,4,25-09-2017,Willy Moloney
265,Databases,Advanced,Databases_Advanced,2,35,6000,222,5,12-08-2017,Kati Toffolini
266,Databases,Expert,Databases_Expert,3,12,2000,746,2,27-09-2020,Gilly Steljes
267,SQL,Advanced,SQL_Advanced,3,25,5000,2527,3,01-12-2017,Leila O'Lenane
268,Javascript,Beginner,Javascript_Beginner,1,12,10000,1576,5,12-04-2020,Zia Palombi
269,CSS,Beginner,CSS_Beginner,2,30,8000,127,5,13-01-2021,Davis Lamke
270,Word Press,Intermediate,Word Press_Intermediate,1,20,3000,1516,,14-07-2017,Rianon Vynarde
271,SQL,Advanced,SQL_Advanced,3,20,10000,1123,5,14-04-2017,Markus Sleight
272,Tableau,Advanced,Tableau_Advanced,3,40,6000,1199,5,02-09-2020,Elbertine Brewitt
273,Javascript,Intermediate,Javascript_Intermediate,2,20,10000,1384,1,07-08-2020,Roshelle Jans
274,SQL,Advanced,SQL_Advanced,3,35,1000,141,1,07-10-2021,Madeleine Preuvost
275,CSS,Beginner,CSS_Beginner,1,25,8000,2886,3,21-04-2019,Demott Davinet
276,Python,Advanced,Python_Advanced,3,9,8000,3869,5,19-10-2021,Gladys Gerssam
277,SQL,Beginner,SQL_Beginner,1,15,4000,242,4,14-01-2019,Deane Walbrook
278,AWS,Expert,AWS_Expert,4,9,5000,3517,4,02-06-2022,Thebault Birkenshaw
